Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
11.10.2019;21.46;19.49;18.00;15.00;17.40;21.49;32.64;40.49;42.58;40.74;38.01;34.36;33.29;28.66;26.80;26.54;27.77;32.62;34.41;36.50;31.68;26.67;24.00;18.24
10.10.2019;26.50;25.60;25.05;23.50;25.19;26.50;36.75;44.88;44.90;43.03;40.78;38.00;37.20;33.00;33.38;29.96;33.40;36.99;40.43;44.90;41.98;33.48;31.85;26.02
09.10.2019;27.06;25.67;23.74;22.60;23.79;31.00;36.50;47.20;47.71;48.41;47.55;47.84;46.81;46.11;45.70;45.84;45.93;46.53;46.96;51.50;44.67;37.52;33.35;29.01
08.10.2019;31.98;30.06;29.10;28.18;29.01;31.01;40.03;46.42;48.24;47.32;45.48;44.69;42.17;40.47;39.82;39.00;41.68;44.27;46.22;49.37;46.40;40.42;35.21;31.27
07.10.2019;32.59;31.90;33.53;32.00;33.90;36.51;49.70;57.34;58.30;56.00;51.94;51.84;50.00;47.97;46.00;47.89;51.36;56.92;63.00;67.99;62.22;53.00;45.33;38.10
06.10.2019;32.76;30.49;29.71;28.00;27.51;27.60;26.96;32.00;33.20;34.00;32.04;34.00;35.99;32.50;33.05;34.00;34.00;39.10;43.20;45.50;44.51;41.20;38.06;34.10
05.10.2019;31.63;29.52;29.10;28.50;28.69;29.00;30.99;34.20;37.48;39.31;39.68;39.07;40.42;37.01;37.00;36.91;37.98;43.26;48.30;50.94;47.41;42.07;39.53;34.89
04.10.2019;35.24;33.84;33.30;33.65;34.08;34.66;45.52;51.54;52.96;51.96;50.18;50.27;47.75;45.01;44.13;44.66;47.91;49.18;51.45;52.67;49.84;43.43;40.53;35.11
03.10.2019;29.90;27.22;27.00;26.28;28.11;29.89;34.44;43.04;47.90;47.85;45.23;44.40;41.59;39.00;37.08;37.95;40.14;47.00;52.29;57.59;55.10;49.01;45.97;39.28
02.10.2019;34.18;33.01;32.04;31.61;32.45;33.58;46.47;52.57;54.02;52.97;50.72;49.97;49.80;47.51;46.02;44.90;47.00;48.90;49.99;53.10;49.66;45.00;37.70;32.89
01.10.2019;32.63;32.45;32.10;32.05;32.67;35.69;45.00;50.07;51.29;47.51;45.13;42.64;41.35;38.24;38.43;39.16;42.00;46.74;49.94;52.51;51.78;46.17;41.60;36.86
30.09.2019;20.16;19.33;18.50;13.46;17.00;24.61;33.49;40.33;48.46;42.99;45.96;46.65;34.25;34.00;40.93;33.41;39.98;44.00;48.90;52.37;45.50;42.96;42.00;40.94
29.09.2019;23.49;21.50;21.50;18.31;17.89;22.10;27.00;31.00;31.01;31.28;27.99;31.05;23.07;26.08;25.05;22.09;12.88;27.99;31.09;31.64;31.27;27.00;31.05;25.04
